sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
ADKHA00000-TEA,,DC,DC,962,BRANDED ADJUST. CAPS,YA HEARD 2-KD,TEAL,0
ADKHA00000-XKKR,,DC,DC,968,KIDS CAPS,YA HEARD 2,XKKR,0
ADKHA00000-XKKW,,DC,DC,962,BRANDED ADJUST. CAPS,YA HEARD 2-KD,BLK,0
ADKHA03001-BPY0,,DC,DC,968,KIDS CAPS,YA HEARD 2 K,BPY0,0
ADKHA03001-KVJ0,,DC,DC,968,KIDS CAPS,YA HEARD 2 K,KVJ0,0
ADKHA03002-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,CAP STAR 2 K,KVJ0,0
ADKHA03002-XKKB,,DC,DC,962,BRANDED ADJUST. CAPS,CAP STAR 2 K,XKKB,0
ADKTZ00052-KTP0,,DC,DC,710,K. BRANDED TEES,VROOM,KTP0,20
ADKZT00040-KGR,,DC,DC,710,K. BRANDED TEES,EXPLOTION,KGR,20
ADKZT00040-PRR0,,DC,DC,710,K. BRANDED TEES,EXPLOTION BY,PRR0,20
ADKZT00042-KVJ0,,DC,DC,710,K. BRANDED TEES,FIYAH TEE,KVJ0,20
ADKZT00107-GRZ0,,DC,DC,710,K. BRANDED TEES,GRIMES,GRZ0,20
ADKZT00112-KVJ0,,DC,DC,710,K. BRANDED TEES,SHATTERED TEE,KVJ0,20
ADKZT00118-BTL0,,DC,DC,710,K. BRANDED TEES,TIME LORD,BTL0,20
ADKZT00155-KVJ0,,DC,DC,710,K. BRANDED TEES,QUANTUM TEE,KVJ0,20
ADKZT00160-KVJ0,,DC,DC,710,K. BRANDED TEES,STITCHAPPEAL TEE,KVJ0,20
ADKZT00255-KVJ0,,DC,DC,710,K. BRANDED TEES,DCRIPS 2FER,KVJ0,20
ADOS700026-PIB,,DC,DC,353,KIDS SHOES,REBOUND UL T,PIB,11
ADOS700030-PNK,,DC,DC,353,KIDS SHOES,PURE HT S UL SN,PNK,11
ADPPBRHN,,SMIT,Smith,920,SUNGLASSES,AUDREY,HORN,0
ADTHA03000-BPY0,,DC,DC,968,KIDS CAPS,YA HEARD 2 TD,BPY0,0
ADTHA03000-KVJ0,,DC,DC,968,KIDS CAPS,YA HEARD 2 TD,KVJ0,0
ADTHA03000-SEYH,,DC,DC,968,KIDS CAPS,YA HEARD 2 TD,SEYH,0
ADTPBRGBR,,SMIT,Smith,920,SUNGLASSES,AUDREY,BRN CR/PBR,0
ADTS100021-BOT,,DC,DC,353,KIDS SHOES,CRISIS,BOT,11
ADTS300012-BTU,,DC,DC,353,KIDS SHOES,TRASE TX,BTU,11
ADTS300012-RGY,,DC,DC,353,KIDS SHOES,TRASE TX,RGY,11
ADTS300022-KMI,,DC,DC,353,KIDS SHOES,PURE V II T,KMI,11
ADTS700021-FPW,,DC,DC,353,KIDS SHOES,REBOUND SE UL,FPW,11
ADTS700021-PUN,,DC,DC,358,INFANT/TODDLER  2-10,REBOUND SE,PUN,11
ADTS700046-BBP,,DC,DC,353,KIDS SHOES,HEATHROW SP T,BBP,11
ADTS700053-BBN,,DC,DC,353,KIDS SHOES,PURE HT S UL SN,BBN,11
ADYAA00012-BLK,,DC,DC,920,SUNGLASSES,AULI 14,BLK,0
ADYAA00012-BPJ0,,DC,DC,920,SUNGLASSES,AULI 14,BPJ0,0
ADYAA00012-GGP0,,DC,DC,920,SUNGLASSES,AULI 14,GGP0,0
