Str,Vend,Vend_Desc,sku,Description,StyCol,OnHand_Qty,OnHand_AvgCost,OnHand_AvgCost_Val,OnHand_AvgCost_PctRpt,OnHand_Age,YTD_Qty,YTD_Sales,YTD_Sales_PctRpt,YTD_Mkdn_Pct,YTD_Profit,YTD_Profit_PctRpt,YTD_GP_Pct,YTD_ROI,YTD_Turns,PriorYr_YTD_Qty,PriorYr_YTD_Sales,PriorYr_YTD_Sales_PctChg,PriorYr_YTD_Profit,PriorYr_YTD_Profit_PctChg,PriorYr_YTD_OnHandCostValue,PriorYr_YTD_OnHandCostValue_PctChg
1,ADID,ADIDAS,G98330,CRAZY FAST 2,BLU/WHT,3,52.8,158.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2,-25
1,ADID,ADIDAS,G98456,NXT LVL SPD 2 K,BLK/WHT,1,24,24,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
1,ADID,ADIDAS,G98768,FILTHYQUICK MD J,BLK/WHT,3,22,66,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
1,ADID,ADIDAS,G98781,CRAZYQUICK,BLK/WHT,2,47.52,95.04,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.56,-33.3
1,ADID,ADIDAS,G98791,CRAZYQUICK MID,BLK/WHT,0,50.16,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.16,-99.9
1,ADID,ADIDAS,G99041,CROSS 'EM 2,BLK/WHT,0,34.32,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32,-99.9
1,ADID,ADIDAS,G99074,CRAZY GHOST,BLU/WHT,1,33,33,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
1,ADID,ADIDAS,G99241,RGIII J,BLK,0,19.25,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,-99.9
1,ADID,ADIDAS,G99249,FILTHYSPEED LOW,BLK/WHT,2,34.32,68.64,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.64,0
1,ADID,ADIDAS,G99381,CRAZY FAST 2,BLK/WHT,3,52.8,158.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4,0
1,ADID,ADIDAS,G99575,LIQUID RIDE,BLK/BLU,1,25.2,25.2,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6,-66.7
1,ADID,ADIDAS,GV9747,ALPHABOUNCE 1 M,GREY,16,54.18,866.88,0.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADID,ADIDAS,H78052,DROSE RED LINE KNIT,MUL,1,4,4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,ADID,ADIDAS,JAMLNA0010,JAMAICA VICTORY,GREEN,5,5,25,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
1,ADID,ADIDAS,K91382,HEAT #6,HEAT,-1,45,-45,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,0
1,ADID,ADIDAS,KP60WMTCSOUNDER,LONG KNIT POM,SOUNDERS,1,10,10,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,ADID,ADIDAS,KT15ZMTCDCAVAL,CUFFED KNIT POM,CAVALIERS,2,11.52,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04,0
1,ADID,ADIDAS,KT15ZMTCDOKCIT,CUFFED KNIT POM,OKC,2,11.52,23.04,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04,0
1,ADID,ADIDAS,KZ11ZFASPENGUIN,GLOW BEANIE,PENGUINS,1,12,12,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-50
1,ADID,ADIDAS,KZ21W553PENGUIN,POM BEANIE,PENGUINS,1,13,13,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
1,ADID,ADIDAS,L05007,FIELD SOCK II XS,BLK/WHT,4,2.5,10,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,ADID,ADIDAS,LSUZHP0030,LSU ZH,PURPLE,1,9.95,9.95,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0
1,ADID,ADIDAS,M17281,DURAMO 6 K,BER/SIL,6,26.4,158.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8,-14.3
1,ADID,ADIDAS,M18010,TRAINOUT,BLK/BLK/RD,0,44,0,0,999,1,55.99,0.1,42.9,11.99,0.1,21.4,654,24,0,0,0,0,0,44,-99.9
1,ADID,ADIDAS,M20231,BP LILADI CF,WHT/BLU,0,12,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-99.9
1,ADID,ADIDAS,M20360,HYPERFAST K,BLU/NEON,2,20.74,41.48,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.44,-66.7
